Product,Rate,Price,Lock
FHA30,3.875,104.245,30
FHA30,3.875,103.989,60
FHA30,3.875,103.486,90
FHA15,3.375,102.104,30
FHA15,3.375,101.884,60
FHA15,3.375,101.387,90
FHA30,4.000,104.261,30
FHA30,4.000,104.004,60
FHA30,4.000,103.501,90
FHA15,3.500,102.119,30
FHA15,3.500,101.899,60
FHA15,3.500,101.402,90
FHA30,4.125,104.291,30
FHA30,4.125,104.035,60
FHA30,4.125,103.532,90
FHA15,3.625,102.149,30
FHA15,3.625,101.929,60
FHA15,3.625,101.464,90
FHA30,4.250,104.353,30
FHA30,4.250,104.097,60
FHA30,4.250,103.594,90
FHA15,3.750,102.210,30
FHA15,3.750,101.990,60
FHA15,3.750,101.544,90
FHA30,4.375,104.825,30
FHA30,4.375,104.610,60
FHA30,4.375,104.114,90
FHA15,3.875,102.330,30
FHA15,3.875,102.097,60
FHA15,3.875,101.669,90
FHA30,4.500,104.840,30
FHA30,4.500,104.625,60
FHA30,4.500,104.137,90
FHA15,4.000,102.346,30
FHA15,4.000,102.112,60
FHA15,4.000,101.701,90
FHA30,4.625,104.871,30
FHA30,4.625,104.656,60
FHA30,4.625,104.175,90
FHA15,4.125,102.376,30
FHA15,4.125,102.143,60
FHA15,4.125,101.749,90
FHA30,4.750,104.934,30
FHA30,4.750,104.719,60
FHA30,4.750,104.247,90
FHA15,4.250,102.437,30
FHA15,4.250,102.203,60
FHA15,4.250,101.816,90
FHA30,4.875,104.282,30
FHA30,4.875,104.072,60
FHA30,4.875,103.628,90
FHA15,4.375,103.213,30
FHA15,4.375,103.000,60
FHA15,4.375,102.615,90
FHA30,5.000,104.297,30
FHA30,5.000,104.087,60
FHA30,5.000,103.671,90
FHA15,4.500,103.228,30
FHA15,4.500,103.015,60
FHA15,4.500,102.634,90
FHA30,5.125,104.328,30
FHA30,5.125,104.118,60
FHA30,5.125,103.701,90
FHA15,4.625,103.259,30
FHA15,4.625,103.045,60
FHA15,4.625,102.668,90
FHA30,5.250,104.390,30
FHA30,5.250,104.180,60
FHA30,5.250,103.763,90
FHA15,4.750,103.320,30
FHA15,4.750,103.107,60
FHA15,4.750,102.730,90
CO30,3.375,99.247,30
CO30,3.375,98.982,60
CO30,3.375,98.708,90
CO15,2.750,99.031,30
CO15,2.750,98.719,60
CO15,2.750,98.419,90
CO30,3.500,99.947,30
CO30,3.500,99.688,60
CO30,3.500,99.421,90
CO15,2.875,99.684,30
CO15,2.875,99.410,60
CO15,2.875,99.141,90
CO30,3.625,100.704,30
CO30,3.625,100.451,60
CO30,3.625,100.191,90
CO15,3.000,100.362,30
CO15,3.000,100.126,60
CO15,3.000,99.890,90
CO30,3.750,101.457,30
CO30,3.750,101.211,60
CO30,3.750,100.958,90
CO15,3.125,100.986,30
CO15,3.125,100.786,60
CO15,3.125,100.578,90
CO30,3.875,101.811,30
CO30,3.875,101.571,60
CO30,3.875,101.325,90
CO15,3.250,101.209,30
CO15,3.250,101.031,60
CO15,3.250,100.841,90
CO30,4.000,102.165,30
CO30,4.000,101.932,60
CO30,4.000,101.693,90
CO15,3.375,101.433,30
CO15,3.375,101.277,60
CO15,3.375,101.104,90
CO30,4.125,102.520,30
CO30,4.125,102.293,60
CO30,4.125,102.060,90
CO15,3.500,101.656,30
CO15,3.500,101.522,60
CO15,3.500,101.367,90
CO30,4.250,102.850,30
CO30,4.250,102.632,60
CO30,4.250,102.409,90
CO15,3.625,101.868,30
CO15,3.625,101.753,60
CO15,3.625,101.613,90
CO30,4.375,103.003,30
CO30,4.375,102.816,60
CO30,4.375,102.621,90
CO15,3.750,102.018,30
CO15,3.750,101.908,60
CO15,3.750,101.771,90
CO30,4.500,103.157,30
CO30,4.500,103.001,60
CO30,4.500,102.833,90
CO15,3.875,102.169,30
CO15,3.875,102.063,60
CO15,3.875,101.929,90
CO30,4.625,103.311,30
CO30,4.625,103.186,60
CO30,4.625,103.045,90
CO15,4.000,102.319,30
CO15,4.000,102.217,60
CO15,4.000,102.087,90
CO30,4.750,103.466,30
CO30,4.750,103.369,60
CO30,4.750,103.253,90
CO15,4.125,102.474,30
CO15,4.125,102.374,60
CO15,4.125,102.247,90
CO30,4.875,103.543,60
CO30,4.875,103.431,90
CO15,4.250,102.647,30
CO15,4.250,102.542,60
CO15,4.250,102.415,90
CO15,4.375,102.821,30
CO15,4.375,102.710,60
CO15,4.375,102.583,90
CO15,4.500,102.994,30
CO15,4.500,102.878,60
CO15,4.500,102.751,90
